Account,Video_id,Behavior,Video_Time,CreateDate
S10527120,gzCSV35U5-w,playing,202,"2017-04-26 08:19:35"
S10527120,gzCSV35U5-w,paused,206,"2017-04-26 08:19:35"
S10527120,gzCSV35U5-w,playing,206,"2017-04-26 08:19:35"
S10527120,gzCSV35U5-w,paused,211,"2017-04-26 08:19:35"
S10527120,gzCSV35U5-w,playing,211,"2017-04-26 08:19:35"
S10527120,gzCSV35U5-w,paused,218,"2017-04-26 08:19:36"
S10527120,gzCSV35U5-w,playing,218,"2017-04-26 08:19:36"
S10527120,gzCSV35U5-w,paused,224,"2017-04-26 08:19:36"
S10527120,gzCSV35U5-w,playing,224,"2017-04-26 08:19:36"
S10527120,gzCSV35U5-w,paused,228,"2017-04-26 08:19:37"
S10527120,gzCSV35U5-w,playing,228,"2017-04-26 08:19:37"
S10527109,gzCSV35U5-w,buffering,0,"2017-04-26 08:19:48"
S10527109,gzCSV35U5-w,playing,0,"2017-04-26 08:19:50"
S10527120,gzCSV35U5-w,paused,251,"2017-04-26 08:19:51"
S10527120,gzCSV35U5-w,playing,251,"2017-04-26 08:19:51"
S10527120,gzCSV35U5-w,paused,260,"2017-04-26 08:19:52"
S10527120,gzCSV35U5-w,playing,260,"2017-04-26 08:19:52"
S10527120,gzCSV35U5-w,paused,278,"2017-04-26 08:20:00"
S10527120,gzCSV35U5-w,playing,278,"2017-04-26 08:20:00"
S10527120,gzCSV35U5-w,paused,290,"2017-04-26 08:20:08"
S10527120,gzCSV35U5-w,playing,290,"2017-04-26 08:20:08"
S10527120,gzCSV35U5-w,paused,296,"2017-04-26 08:20:08"
S10527120,gzCSV35U5-w,playing,296,"2017-04-26 08:20:08"
S10527120,gzCSV35U5-w,paused,301,"2017-04-26 08:20:09"
S10527120,gzCSV35U5-w,playing,301,"2017-04-26 08:20:09"
S10527120,gzCSV35U5-w,paused,304,"2017-04-26 08:20:09"
S10527120,gzCSV35U5-w,playing,304,"2017-04-26 08:20:09"
S10527120,gzCSV35U5-w,paused,308,"2017-04-26 08:20:10"
S10527120,gzCSV35U5-w,playing,308,"2017-04-26 08:20:10"
S10527120,gzCSV35U5-w,paused,310,"2017-04-26 08:20:10"
S10527120,gzCSV35U5-w,playing,310,"2017-04-26 08:20:10"
S10527120,gzCSV35U5-w,paused,314,"2017-04-26 08:20:11"
S10527120,gzCSV35U5-w,playing,315,"2017-04-26 08:20:11"
S10527120,gzCSV35U5-w,paused,318,"2017-04-26 08:20:11"
S10527120,gzCSV35U5-w,playing,318,"2017-04-26 08:20:11"
S10527120,gzCSV35U5-w,paused,322,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,playing,322,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,paused,325,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,playing,326,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,paused,330,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,playing,330,"2017-04-26 08:20:12"
S10527120,gzCSV35U5-w,paused,333,"2017-04-26 08:20:13"
S10527120,gzCSV35U5-w,playing,333,"2017-04-26 08:20:13"
S10527120,gzCSV35U5-w,paused,340,"2017-04-26 08:20:13"
S10527120,gzCSV35U5-w,playing,340,"2017-04-26 08:20:13"
S10527120,gzCSV35U5-w,paused,344,"2017-04-26 08:20:14"
S10527120,gzCSV35U5-w,playing,344,"2017-04-26 08:20:14"
S10527120,gzCSV35U5-w,paused,350,"2017-04-26 08:20:14"
S10527120,gzCSV35U5-w,playing,350,"2017-04-26 08:20:14"
S10527120,gzCSV35U5-w,paused,356,"2017-04-26 08:20:15"
S10527120,gzCSV35U5-w,playing,357,"2017-04-26 08:20:15"
S10527120,gzCSV35U5-w,paused,361,"2017-04-26 08:20:15"
S10527120,gzCSV35U5-w,playing,361,"2017-04-26 08:20:15"
S10527120,gzCSV35U5-w,paused,364,"2017-04-26 08:20:15"
S10527120,gzCSV35U5-w,playing,364,"2017-04-26 08:20:16"
S10527120,gzCSV35U5-w,paused,366,"2017-04-26 08:20:16"
S10527120,gzCSV35U5-w,playing,366,"2017-04-26 08:20:16"
S10527120,gzCSV35U5-w,paused,372,"2017-04-26 08:20:16"
S10527120,gzCSV35U5-w,playing,372,"2017-04-26 08:20:16"
S10527120,gzCSV35U5-w,paused,377,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,playing,377,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,paused,380,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,playing,380,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,paused,388,"2017-04-26 08:20:17"
S10527122,gzCSV35U5-w,playing,60,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,playing,388,"2017-04-26 08:20:17"
S10527120,gzCSV35U5-w,paused,397,"2017-04-26 08:20:21"
S10527120,gzCSV35U5-w,playing,397,"2017-04-26 08:20:21"
S10527120,gzCSV35U5-w,paused,401,"2017-04-26 08:20:21"
S10527120,gzCSV35U5-w,playing,401,"2017-04-26 08:20:21"
S10527120,gzCSV35U5-w,paused,405,"2017-04-26 08:20:22"
S10527120,gzCSV35U5-w,playing,405,"2017-04-26 08:20:22"
S10527120,gzCSV35U5-w,paused,409,"2017-04-26 08:20:22"
S10527120,gzCSV35U5-w,playing,409,"2017-04-26 08:20:22"
S10527120,gzCSV35U5-w,paused,411,"2017-04-26 08:20:23"
S10527120,gzCSV35U5-w,playing,411,"2017-04-26 08:20:23"
S10527120,gzCSV35U5-w,paused,414,"2017-04-26 08:20:23"
S10527120,gzCSV35U5-w,playing,414,"2017-04-26 08:20:23"
S10527120,gzCSV35U5-w,paused,423,"2017-04-26 08:20:24"
S10527120,gzCSV35U5-w,playing,423,"2017-04-26 08:20:24"
S10527120,gzCSV35U5-w,paused,425,"2017-04-26 08:20:24"
S10527120,gzCSV35U5-w,playing,425,"2017-04-26 08:20:24"
S10527120,gzCSV35U5-w,paused,431,"2017-04-26 08:20:25"
S10527120,gzCSV35U5-w,playing,431,"2017-04-26 08:20:25"
S10527120,gzCSV35U5-w,paused,436,"2017-04-26 08:20:25"
S10527120,gzCSV35U5-w,playing,436,"2017-04-26 08:20:25"
S10527120,gzCSV35U5-w,paused,445,"2017-04-26 08:20:25"
S10527120,gzCSV35U5-w,playing,445,"2017-04-26 08:20:26"
S10527120,gzCSV35U5-w,paused,450,"2017-04-26 08:20:26"
S10527120,gzCSV35U5-w,playing,450,"2017-04-26 08:20:26"
S10527120,gzCSV35U5-w,paused,455,"2017-04-26 08:20:26"
S10527120,gzCSV35U5-w,playing,455,"2017-04-26 08:20:26"
S10527120,gzCSV35U5-w,paused,467,"2017-04-26 08:20:27"
S10527120,gzCSV35U5-w,playing,467,"2017-04-26 08:20:27"
S10527120,gzCSV35U5-w,buffering,467,"2017-04-26 08:20:27"
S10527120,gzCSV35U5-w,playing,467,"2017-04-26 08:20:27"
S10527120,gzCSV35U5-w,paused,478,"2017-04-26 08:20:27"
S10527120,gzCSV35U5-w,playing,478,"2017-04-26 08:20:27"
S10527133,gzCSV35U5-w,playing,6,"2017-04-26 08:20:28"
S10527122,gzCSV35U5-w,buffering,75,"2017-04-26 08:20:28"
S10527122,gzCSV35U5-w,playing,75,"2017-04-26 08:20:28"
S10527120,gzCSV35U5-w,paused,490,"2017-04-26 08:20:29"
S10527120,gzCSV35U5-w,playing,490,"2017-04-26 08:20:29"
S10527122,gzCSV35U5-w,buffering,82,"2017-04-26 08:20:30"
S10527120,gzCSV35U5-w,paused,496,"2017-04-26 08:20:30"
S10527122,gzCSV35U5-w,playing,82,"2017-04-26 08:20:30"
S10527120,gzCSV35U5-w,playing,496,"2017-04-26 08:20:30"
S10527122,gzCSV35U5-w,buffering,87,"2017-04-26 08:20:30"
S10527122,gzCSV35U5-w,playing,87,"2017-04-26 08:20:30"
S10527120,gzCSV35U5-w,paused,499,"2017-04-26 08:20:31"
S10527120,gzCSV35U5-w,playing,499,"2017-04-26 08:20:31"
S10527122,gzCSV35U5-w,buffering,92,"2017-04-26 08:20:31"
S10527122,gzCSV35U5-w,playing,97,"2017-04-26 08:20:31"
S10527120,gzCSV35U5-w,paused,505,"2017-04-26 08:20:31"
S10527120,gzCSV35U5-w,playing,505,"2017-04-26 08:20:31"
S10527122,gzCSV35U5-w,paused,99,"2017-04-26 08:20:33"
S10527173,gzCSV35U5-w,paused,131,"2017-04-26 08:20:33"
S10527173,gzCSV35U5-w,playing,131,"2017-04-26 08:20:33"
S10527122,gzCSV35U5-w,playing,99,"2017-04-26 08:20:36"
