Account,Behavior,Video_Time,CreateDate
S10527105,playing,34,"2017-04-26 08:22:42"
S10527108,playing,70,"2017-04-26 08:22:43"
S10527122,paused,185,"2017-04-26 08:22:43"
S10527122,buffering,185,"2017-04-26 08:22:44"
S10527122,playing,185,"2017-04-26 08:22:44"
S10527111,paused,76,"2017-04-26 08:22:44"
S10527122,paused,163,"2017-04-26 08:22:45"
S10527122,buffering,163,"2017-04-26 08:22:45"
S10527122,playing,163,"2017-04-26 08:22:45"
S10527111,playing,76,"2017-04-26 08:22:47"
S10527122,paused,151,"2017-04-26 08:22:49"
S10527122,buffering,151,"2017-04-26 08:22:49"
S10527122,playing,151,"2017-04-26 08:22:49"
S10527122,paused,127,"2017-04-26 08:22:50"
S10527122,buffering,127,"2017-04-26 08:22:50"
S10527133,paused,65,"2017-04-26 08:22:50"
S10527122,playing,127,"2017-04-26 08:22:51"
S10527122,paused,127,"2017-04-26 08:22:52"
S10527122,playing,128,"2017-04-26 08:22:54"
S10527108,paused,95,"2017-04-26 08:22:56"
S10527108,playing,95,"2017-04-26 08:22:59"
S10527120,buffering,0,"2017-04-26 08:23:00"
S10527133,playing,66,"2017-04-26 08:23:01"
S10527120,playing,0,"2017-04-26 08:23:01"
S10527120,paused,959,"2017-04-26 08:23:03"
S10527120,playing,959,"2017-04-26 08:23:03"
S10527120,buffering,959,"2017-04-26 08:23:03"
S10527120,playing,959,"2017-04-26 08:23:03"
S10527120,paused,992,"2017-04-26 08:23:04"
S10527120,playing,992,"2017-04-26 08:23:04"
S10527120,buffering,992,"2017-04-26 08:23:04"
S10527120,playing,992,"2017-04-26 08:23:04"
S10527122,paused,115,"2017-04-26 08:23:04"
S10527122,buffering,115,"2017-04-26 08:23:04"
S10527122,playing,116,"2017-04-26 08:23:05"
S10527122,buffering,124,"2017-04-26 08:23:08"
S10527122,playing,124,"2017-04-26 08:23:08"
S10527108,paused,114,"2017-04-26 08:23:09"
S10527122,buffering,129,"2017-04-26 08:23:09"
S10527122,playing,129,"2017-04-26 08:23:09"
S10527122,buffering,134,"2017-04-26 08:23:09"
S10527122,playing,134,"2017-04-26 08:23:09"
S10527122,buffering,139,"2017-04-26 08:23:09"
S10527122,playing,139,"2017-04-26 08:23:09"
S10527120,paused,1012,"2017-04-26 08:23:10"
S10527120,playing,1012,"2017-04-26 08:23:10"
S10527122,buffering,145,"2017-04-26 08:23:10"
S10527122,playing,145,"2017-04-26 08:23:10"
S10527120,paused,1004,"2017-04-26 08:23:10"
S10527120,playing,1004,"2017-04-26 08:23:11"
S10527122,buffering,151,"2017-04-26 08:23:11"
S10527122,playing,151,"2017-04-26 08:23:11"
S10527120,paused,1001,"2017-04-26 08:23:11"
S10527120,playing,1001,"2017-04-26 08:23:11"
S10527120,paused,996,"2017-04-26 08:23:12"
S10527120,playing,996,"2017-04-26 08:23:12"
S10527122,paused,152,"2017-04-26 08:23:13"
S10527120,paused,1010,"2017-04-26 08:23:13"
S10527120,playing,1010,"2017-04-26 08:23:13"
S10527120,paused,1020,"2017-04-26 08:23:13"
S10527120,playing,1020,"2017-04-26 08:23:13"
S10527120,paused,1026,"2017-04-26 08:23:14"
S10527120,playing,1026,"2017-04-26 08:23:14"
S10527120,paused,1033,"2017-04-26 08:23:14"
S10527120,playing,1033,"2017-04-26 08:23:14"
S10527120,paused,1040,"2017-04-26 08:23:15"
S10527120,playing,1040,"2017-04-26 08:23:15"
S10527133,paused,80,"2017-04-26 08:23:15"
S10527120,paused,1045,"2017-04-26 08:23:15"
S10527120,playing,1045,"2017-04-26 08:23:15"
S10527120,paused,1050,"2017-04-26 08:23:16"
S10527120,playing,1050,"2017-04-26 08:23:16"
S10527105,paused,77,"2017-04-26 08:23:17"
S10527105,playing,77,"2017-04-26 08:23:17"
S10527108,playing,114,"2017-04-26 08:23:18"
S10527120,paused,1047,"2017-04-26 08:23:21"
S10527120,playing,1047,"2017-04-26 08:23:21"
S10527105,paused,87,"2017-04-26 08:23:21"
S10527105,playing,87,"2017-04-26 08:23:21"
S10527120,paused,1041,"2017-04-26 08:23:21"
S10527120,playing,1041,"2017-04-26 08:23:21"
S10527120,paused,1036,"2017-04-26 08:23:22"
S10527120,playing,1036,"2017-04-26 08:23:22"
S10527120,paused,1032,"2017-04-26 08:23:22"
S10527120,playing,1032,"2017-04-26 08:23:22"
S10527120,paused,1022,"2017-04-26 08:23:22"
S10527120,playing,1022,"2017-04-26 08:23:22"
S10527120,paused,1020,"2017-04-26 08:23:22"
S10527120,playing,1020,"2017-04-26 08:23:23"
S10527120,paused,1008,"2017-04-26 08:23:23"
S10527120,playing,1008,"2017-04-26 08:23:23"
S10527105,paused,95,"2017-04-26 08:23:23"
S10527120,paused,1005,"2017-04-26 08:23:23"
